RO;2020-04-04;11;1
AC;2020-04-04;46;0
AM;2020-04-04;311;12
RR;2020-04-04;37;1
PA;2020-04-04;80;1
AP;2020-04-04;28;1
TO;2020-04-04;14;0
MA;2020-04-04;88;1
PI;2020-04-04;22;4
CE;2020-04-04;730;22
RN;2020-04-04;212;5
PB;2020-04-04;32;2
PE;2020-04-04;176;14
AL;2020-04-04;23;2
SE;2020-04-04;27;2
BA;2020-04-04;332;7
MG;2020-04-04;430;6
ES;2020-04-04;153;5
RJ;2020-04-04;1246;58
SP;2020-04-04;4466;260
PR;2020-04-04;395;6
SC;2020-04-04;334;5
RS;2020-04-04;410;6
MS;2020-04-04;62;1
MT;2020-04-04;56;1
GO;2020-04-04;103;2
DF;2020-04-04;454;7
